program,tool_id,item,vendor,lead_time_days_planned,lead_time_days_actual,expedite_spend_usd,expedite_reason,need_by_date,promise_date,received_date
Orion-Ramp,T-OR-07,Chiller,VendorF,45,77,0.0,,2025-07-16,2025-06-22,2025-06-12
Atlas-Sustaining,T-AT-01,Vac Pump,VendorB,33,51,0.0,,2026-04-14,2026-03-16,2026-03-12
Helios-NewBay,T-HE-01,Sensors Kit,VendorB,72,87,1088.88,Missing parts,2025-11-16,2025-10-11,
Atlas-Sustaining,T-AT-06,Vac Pump,VendorF,169,196,2532.83,Supplier expedite,2026-04-18,2026-04-17,2026-04-10
Atlas-Sustaining,T-AT-02,Pressure Transducer,VendorD,136,129,0.0,,2025-12-21,2025-11-20,2025-11-30
Phoenix-ETD,T-PH-01,Sensors Kit,VendorF,33,27,0.0,,2025-10-21,2025-10-27,
Phoenix-ETD,T-PH-02,Chiller,VendorD,50,79,3122.91,Late ECO,2026-06-19,2026-06-16,2026-06-14
Nova-Upgrade,T-NO-01,Gas Box,VendorE,101,112,0.0,,2026-02-27,2026-03-04,2026-03-17
Orion-Ramp,T-OR-05,Control Cabinet,VendorC,62,51,11314.19,Supplier expedite,2026-02-21,2026-03-01,2026-03-18
Phoenix-ETD,T-PH-04,Control Cabinet,VendorF,117,112,0.0,,2026-06-23,2026-05-18,
Orion-Ramp,T-OR-09,Sensors Kit,VendorA,164,185,2354.91,Priority build,2026-03-30,2026-03-01,
Helios-NewBay,T-HE-05,MFC,VendorF,158,171,0.0,,2025-10-30,2025-11-08,2025-12-06
Phoenix-ETD,T-PH-08,Pressure Transducer,VendorA,123,158,0.0,,2025-12-28,2025-12-06,2025-12-16
Phoenix-ETD,T-PH-05,Tool Frame,VendorC,143,165,4780.0,Capacity constraint,2025-09-13,2025-08-15,
Atlas-Sustaining,T-AT-07,MFC,VendorC,69,113,0.0,,2026-01-09,2026-01-23,
Helios-NewBay,T-HE-10,Pressure Transducer,VendorD,49,76,0.0,,2026-02-24,2026-03-16,
Helios-NewBay,T-HE-03,Valve Manifold,VendorF,56,52,0.0,,2026-02-02,2026-01-10,
Phoenix-ETD,T-PH-08,RF Gen,VendorA,82,69,0.0,,2025-09-10,2025-09-12,2025-09-25
Nova-Upgrade,T-NO-10,Chiller,VendorC,105,124,15154.54,Missing parts,2025-09-29,2025-09-14,2025-09-27
Nova-Upgrade,T-NO-05,Valve Manifold,VendorA,162,164,471.52,Supplier expedite,2025-07-30,2025-08-19,2025-08-12
Nova-Upgrade,T-NO-05,Harness,VendorB,55,34,2347.56,Missing parts,2026-01-03,2025-11-30,2025-12-15
Atlas-Sustaining,T-AT-02,Valve Manifold,VendorF,158,125,8508.43,Missing parts,2026-04-20,2026-04-27,2026-05-03
Helios-NewBay,T-HE-04,Sensors Kit,VendorE,90,132,939.77,Capacity constraint,2025-08-04,2025-08-13,2025-08-27
Phoenix-ETD,T-PH-08,Tool Frame,VendorE,152,171,13001.08,Late ECO,2025-08-07,2025-08-15,2025-09-09
Nova-Upgrade,T-NO-09,Vac Pump,VendorC,71,107,0.0,,2025-11-22,2025-10-27,2025-11-25
Phoenix-ETD,T-PH-10,Valve Manifold,VendorD,175,209,5338.22,Capacity constraint,2026-03-04,2026-01-30,2026-01-31
Helios-NewBay,T-HE-10,Harness,VendorC,23,17,7088.35,Supplier expedite,2025-09-07,2025-08-19,2025-08-12
Helios-NewBay,T-HE-09,MFC,VendorE,53,97,0.0,,2026-06-24,2026-06-21,
Nova-Upgrade,T-NO-08,Sensors Kit,VendorB,165,177,0.0,,2025-08-05,2025-08-18,2025-09-08
Orion-Ramp,T-OR-06,RF Gen,VendorA,153,195,3307.83,Air freight,2025-07-18,2025-06-30,2025-06-28
Nova-Upgrade,T-NO-07,Tool Frame,VendorA,149,142,10284.73,Rework,2025-08-29,2025-08-20,
Nova-Upgrade,T-NO-09,Sensors Kit,VendorF,147,167,0.0,,2026-06-20,2026-05-17,2026-05-23
Helios-NewBay,T-HE-08,Control Cabinet,VendorD,79,61,0.0,,2025-10-27,2025-10-21,2025-10-28
Phoenix-ETD,T-PH-07,Valve Manifold,VendorA,173,177,3641.69,Priority build,2026-03-25,2026-03-01,2026-03-06
Helios-NewBay,T-HE-03,Tool Frame,VendorF,84,105,0.0,,2025-12-06,2025-11-30,2025-12-10
Nova-Upgrade,T-NO-05,MFC,VendorC,71,122,0.0,,2025-07-15,2025-07-03,2025-07-05
Helios-NewBay,T-HE-01,Tool Frame,VendorA,138,143,5597.14,Air freight,2026-04-01,2026-03-30,2026-04-09
Phoenix-ETD,T-PH-10,Vac Pump,VendorE,46,118,8804.6,Late ECO,2026-01-28,2026-02-05,2026-02-10
Phoenix-ETD,T-PH-06,RF Gen,VendorA,144,101,0.0,,2026-05-04,2026-05-18,2026-06-03
Orion-Ramp,T-OR-03,RF Gen,VendorE,177,209,0.0,,2025-12-26,2026-01-11,2026-01-22
Phoenix-ETD,T-PH-05,Sensors Kit,VendorB,21,38,7269.47,Capacity constraint,2026-03-27,2026-03-09,2026-03-03
Nova-Upgrade,T-NO-07,Sensors Kit,VendorD,140,133,3992.53,Rework,2025-10-30,2025-10-04,2025-09-30
Orion-Ramp,T-OR-06,Tool Frame,VendorC,125,118,2847.79,Rework,2026-03-19,2026-02-14,2026-02-17
Atlas-Sustaining,T-AT-08,RF Gen,VendorA,139,146,0.0,,2025-11-25,2025-11-03,
Atlas-Sustaining,T-AT-03,Sensors Kit,VendorD,61,49,0.0,,2026-05-09,2026-04-15,2026-04-25
Helios-NewBay,T-HE-09,Control Cabinet,VendorA,79,23,806.59,Air freight,2026-05-23,2026-05-24,
Nova-Upgrade,T-NO-08,Gas Box,VendorA,136,194,6077.81,Late ECO,2026-05-10,2026-05-04,2026-04-26
Orion-Ramp,T-OR-04,Sensors Kit,VendorE,84,43,3326.03,Late ECO,2026-05-18,2026-04-09,2026-04-25
Helios-NewBay,T-HE-02,MFC,VendorC,53,104,6541.85,Rework,2025-11-05,2025-10-24,2025-11-22
Nova-Upgrade,T-NO-08,Sensors Kit,VendorA,151,199,0.0,,2025-12-09,2025-11-27,2025-12-13
Nova-Upgrade,T-NO-10,Harness,VendorE,42,49,0.0,,2025-10-05,2025-09-17,
Orion-Ramp,T-OR-10,Sensors Kit,VendorE,176,224,0.0,,2026-06-21,2026-06-08,2026-07-01
Atlas-Sustaining,T-AT-01,RF Gen,VendorF,81,98,0.0,,2025-07-24,2025-08-07,
Phoenix-ETD,T-PH-06,RF Gen,VendorA,168,176,0.0,,2025-10-01,2025-10-04,
Helios-NewBay,T-HE-02,Vac Pump,VendorC,90,104,8590.45,Priority build,2025-07-26,2025-07-30,2025-08-20
Phoenix-ETD,T-PH-08,RF Gen,VendorC,64,74,0.0,,2026-05-09,2026-05-12,
Helios-NewBay,T-HE-03,Sensors Kit,VendorC,21,10,3580.67,Priority build,2025-09-25,2025-08-27,2025-08-29
Orion-Ramp,T-OR-06,RF Gen,VendorD,99,95,3108.54,Priority build,2026-05-13,2026-04-28,2026-05-18
Helios-NewBay,T-HE-09,Vac Pump,VendorE,48,66,0.0,,2025-09-08,2025-08-08,2025-08-11
Nova-Upgrade,T-NO-08,Sensors Kit,VendorD,131,116,0.0,,2026-06-26,2026-07-05,2026-06-29
Helios-NewBay,T-HE-10,MFC,VendorB,140,116,2578.22,Rework,2025-12-14,2025-11-20,2025-11-18
Atlas-Sustaining,T-AT-02,RF Gen,VendorB,22,8,1094.04,Air freight,2026-04-05,2026-03-10,
Phoenix-ETD,T-PH-06,MFC,VendorC,86,50,10386.35,Priority build,2026-05-26,2026-06-10,2026-06-05
Orion-Ramp,T-OR-07,Gas Box,VendorF,175,183,0.0,,2026-01-15,2026-01-24,
Orion-Ramp,T-OR-03,Chiller,VendorD,131,163,0.0,,2025-12-03,2025-11-05,2025-11-08
Orion-Ramp,T-OR-02,Pressure Transducer,VendorF,32,43,192.56,Air freight,2025-09-08,2025-09-03,2025-08-26
Orion-Ramp,T-OR-10,Control Cabinet,VendorF,46,98,0.0,,2026-06-03,2026-05-28,2026-06-14
Orion-Ramp,T-OR-02,Pressure Transducer,VendorD,80,88,0.0,,2026-06-04,2026-06-03,2026-05-30
Atlas-Sustaining,T-AT-02,Pressure Transducer,VendorE,94,70,0.0,,2026-01-07,2026-01-13,2026-02-05
Nova-Upgrade,T-NO-07,Vac Pump,VendorA,124,114,0.0,,2025-07-24,2025-06-29,2025-07-04
Nova-Upgrade,T-NO-06,Pressure Transducer,VendorD,66,74,0.0,,2025-08-23,2025-09-06,2025-09-10
Nova-Upgrade,T-NO-08,Harness,VendorB,144,156,6171.45,Late ECO,2025-11-23,2025-11-13,2025-11-27
Atlas-Sustaining,T-AT-05,Pressure Transducer,VendorE,74,98,0.0,,2026-01-20,2026-02-02,2026-02-08
Orion-Ramp,T-OR-09,Pressure Transducer,VendorD,140,149,0.0,,2025-09-17,2025-09-16,2025-10-07
Helios-NewBay,T-HE-07,RF Gen,VendorD,111,120,7017.31,Missing parts,2025-09-28,2025-10-03,
Orion-Ramp,T-OR-03,MFC,VendorD,119,116,0.0,,2025-07-25,2025-07-05,2025-07-30
Helios-NewBay,T-HE-03,RF Gen,VendorC,123,145,0.0,,2026-03-06,2026-01-27,2026-02-13
Nova-Upgrade,T-NO-10,Control Cabinet,VendorA,105,120,0.0,,2026-01-29,2026-01-13,2026-01-09
Orion-Ramp,T-OR-06,Control Cabinet,VendorF,64,111,0.0,,2026-02-07,2026-02-20,2026-03-05
Atlas-Sustaining,T-AT-06,MFC,VendorE,47,74,5888.79,Capacity constraint,2025-09-23,2025-10-02,2025-10-11
Nova-Upgrade,T-NO-04,Chiller,VendorC,171,177,0.0,,2026-06-13,2026-06-16,
Helios-NewBay,T-HE-01,Sensors Kit,VendorC,176,191,0.0,,2026-05-13,2026-04-20,2026-04-27
Helios-NewBay,T-HE-09,MFC,VendorC,58,124,0.0,,2025-08-30,2025-07-27,2025-08-01
Helios-NewBay,T-HE-05,MFC,VendorF,124,206,0.0,,2026-02-07,2026-01-18,2026-01-18
Orion-Ramp,T-OR-01,MFC,VendorA,47,74,0.0,,2025-10-01,2025-09-04,2025-09-26
Helios-NewBay,T-HE-07,Vac Pump,VendorE,40,49,11671.77,Missing parts,2026-03-18,2026-02-27,
Nova-Upgrade,T-NO-02,RF Gen,VendorA,153,145,0.0,,2025-11-04,2025-11-20,2025-11-26
Phoenix-ETD,T-PH-10,RF Gen,VendorB,168,222,0.0,,2026-04-16,2026-03-11,
Orion-Ramp,T-OR-05,Sensors Kit,VendorC,23,27,3538.47,Priority build,2026-03-04,2026-02-23,2026-03-15
Phoenix-ETD,T-PH-06,Vac Pump,VendorC,114,59,4205.66,Missing parts,2026-02-10,2026-01-13,2026-01-29
Phoenix-ETD,T-PH-01,Vac Pump,VendorD,142,143,0.0,,2026-06-04,2026-05-13,2026-06-04
Nova-Upgrade,T-NO-05,Tool Frame,VendorD,121,117,5594.8,Missing parts,2025-12-21,2025-12-14,
Atlas-Sustaining,T-AT-01,Tool Frame,VendorD,163,211,0.0,,2026-04-18,2026-03-28,2026-04-12
Phoenix-ETD,T-PH-07,Valve Manifold,VendorB,130,197,0.0,,2026-02-20,2026-01-23,
Orion-Ramp,T-OR-07,Tool Frame,VendorB,165,174,1448.72,Rework,2025-11-02,2025-10-27,
Phoenix-ETD,T-PH-07,Valve Manifold,VendorD,87,71,5469.08,Rework,2025-09-26,2025-10-15,2025-10-18
Atlas-Sustaining,T-AT-03,Control Cabinet,VendorE,178,177,11249.99,Supplier expedite,2025-07-05,2025-07-19,2025-07-18
Nova-Upgrade,T-NO-09,Vac Pump,VendorC,86,105,0.0,,2026-01-04,2025-11-26,2025-12-25
Phoenix-ETD,T-PH-04,Gas Box,VendorC,48,85,747.02,Air freight,2025-10-31,2025-10-13,2025-10-14
Phoenix-ETD,T-PH-08,Tool Frame,VendorE,175,184,407.69,Late ECO,2026-01-20,2026-01-12,2026-02-03
Atlas-Sustaining,T-AT-06,Chiller,VendorE,31,26,9750.45,Rework,2025-09-13,2025-09-25,2025-10-19
Phoenix-ETD,T-PH-10,MFC,VendorD,28,44,793.18,Rework,2025-08-03,2025-06-28,
Nova-Upgrade,T-NO-10,Harness,VendorC,109,173,0.0,,2026-03-14,2026-02-05,2026-03-02
Nova-Upgrade,T-NO-06,Vac Pump,VendorB,151,173,1994.75,Air freight,2025-11-27,2025-10-19,2025-10-21
Atlas-Sustaining,T-AT-06,Pressure Transducer,VendorE,55,95,0.0,,2026-02-24,2026-01-17,2026-02-01
Atlas-Sustaining,T-AT-01,Gas Box,VendorC,67,82,0.0,,2026-04-29,2026-04-28,
Nova-Upgrade,T-NO-08,Sensors Kit,VendorB,52,69,0.0,,2025-10-06,2025-09-10,2025-09-27
Helios-NewBay,T-HE-07,Harness,VendorF,129,170,10016.53,Air freight,2026-06-18,2026-06-13,2026-07-08
Helios-NewBay,T-HE-03,RF Gen,VendorC,161,185,1877.29,Air freight,2025-08-12,2025-08-19,2025-09-12
Phoenix-ETD,T-PH-03,Sensors Kit,VendorC,40,70,3227.99,Late ECO,2026-05-14,2026-05-12,2026-06-01
Atlas-Sustaining,T-AT-08,Sensors Kit,VendorF,139,145,1256.88,Late ECO,2026-05-15,2026-04-13,2026-05-07
Orion-Ramp,T-OR-08,RF Gen,VendorD,112,186,0.0,,2025-09-04,2025-08-24,
Nova-Upgrade,T-NO-09,Chiller,VendorD,46,45,6653.16,Missing parts,2025-09-18,2025-08-26,
Atlas-Sustaining,T-AT-09,Harness,VendorE,147,136,16843.36,Air freight,2026-04-12,2026-05-02,
Atlas-Sustaining,T-AT-05,MFC,VendorE,43,29,0.0,,2026-06-01,2026-06-08,2026-06-24
Phoenix-ETD,T-PH-08,Pressure Transducer,VendorB,137,111,4787.85,Late ECO,2025-10-18,2025-10-15,2025-11-13
Atlas-Sustaining,T-AT-06,Vac Pump,VendorB,139,186,0.0,,2026-06-13,2026-07-01,2026-07-20
Phoenix-ETD,T-PH-09,Chiller,VendorB,179,199,0.0,,2026-02-23,2026-02-06,2026-02-24
Atlas-Sustaining,T-AT-03,Vac Pump,VendorC,24,30,0.0,,2025-10-19,2025-09-13,2025-09-03
Nova-Upgrade,T-NO-02,Chiller,VendorF,44,123,0.0,,2025-12-18,2025-12-12,2025-12-13
Helios-NewBay,T-HE-01,Pressure Transducer,VendorA,150,156,7433.78,Capacity constraint,2025-10-09,2025-10-06,
Orion-Ramp,T-OR-02,MFC,VendorA,156,125,0.0,,2026-06-29,2026-05-29,2026-06-20
Nova-Upgrade,T-NO-09,Control Cabinet,VendorA,118,128,2722.4,Missing parts,2026-05-08,2026-04-27,2026-05-18
Phoenix-ETD,T-PH-02,Chiller,VendorA,177,239,0.0,,2026-02-22,2026-01-21,2026-02-06
Atlas-Sustaining,T-AT-08,RF Gen,VendorD,155,199,0.0,,2026-06-24,2026-06-17,2026-06-14
Phoenix-ETD,T-PH-06,Vac Pump,VendorD,140,90,6682.45,Capacity constraint,2025-12-09,2025-11-08,2025-11-15
Phoenix-ETD,T-PH-09,Gas Box,VendorA,108,141,0.0,,2025-12-31,2025-12-11,2026-01-06
Nova-Upgrade,T-NO-07,Harness,VendorB,152,155,0.0,,2026-03-07,2026-01-31,2026-02-06
Orion-Ramp,T-OR-10,Chiller,VendorF,64,77,14968.18,Missing parts,2026-04-07,2026-04-05,2026-04-29
Nova-Upgrade,T-NO-06,Pressure Transducer,VendorA,109,144,9474.69,Rework,2025-08-23,2025-08-31,2025-09-18
Phoenix-ETD,T-PH-01,Tool Frame,VendorC,103,159,13848.29,Rework,2026-03-08,2026-02-12,2026-03-04
Nova-Upgrade,T-NO-08,Vac Pump,VendorB,119,134,4428.02,Priority build,2025-10-09,2025-10-24,2025-10-31
Phoenix-ETD,T-PH-01,Control Cabinet,VendorA,174,170,0.0,,2025-08-29,2025-08-12,2025-08-31
Phoenix-ETD,T-PH-04,Chiller,VendorD,147,155,0.0,,2025-12-11,2025-12-19,2025-12-13
Atlas-Sustaining,T-AT-05,Harness,VendorD,80,66,2920.41,Capacity constraint,2026-05-21,2026-04-22,2026-05-04
Phoenix-ETD,T-PH-07,Valve Manifold,VendorE,132,118,0.0,,2025-12-21,2025-11-13,2025-11-25
Helios-NewBay,T-HE-08,Tool Frame,VendorC,148,160,0.0,,2026-04-05,2026-04-17,
Nova-Upgrade,T-NO-05,Sensors Kit,VendorF,63,19,0.0,,2025-12-29,2025-12-13,2025-12-28
Nova-Upgrade,T-NO-07,Control Cabinet,VendorE,150,202,3842.0,Missing parts,2025-10-03,2025-09-13,2025-09-16
Helios-NewBay,T-HE-05,Valve Manifold,VendorE,66,34,0.0,,2025-12-04,2025-12-24,2025-12-14
Phoenix-ETD,T-PH-07,Control Cabinet,VendorD,34,16,7386.86,Missing parts,2025-12-06,2025-11-19,2025-11-16
Atlas-Sustaining,T-AT-03,Chiller,VendorA,131,128,2147.92,Late ECO,2025-07-09,2025-07-09,2025-07-08
Nova-Upgrade,T-NO-08,Gas Box,VendorE,76,96,0.0,,2025-07-25,2025-06-20,2025-07-13
Phoenix-ETD,T-PH-02,Gas Box,VendorA,133,115,8033.3,Missing parts,2026-03-23,2026-03-27,
Atlas-Sustaining,T-AT-10,Tool Frame,VendorC,98,95,0.0,,2025-09-26,2025-09-26,2025-10-20
Helios-NewBay,T-HE-09,Pressure Transducer,VendorD,119,124,13425.38,Rework,2026-06-09,2026-06-12,
Orion-Ramp,T-OR-08,Tool Frame,VendorF,129,139,0.0,,2026-04-15,2026-04-29,2026-05-18
Helios-NewBay,T-HE-01,Harness,VendorB,100,69,0.0,,2026-02-22,2026-02-19,
Helios-NewBay,T-HE-07,Valve Manifold,VendorD,137,118,0.0,,2025-07-26,2025-07-09,2025-07-22
Phoenix-ETD,T-PH-07,Pressure Transducer,VendorC,115,99,0.0,,2025-09-30,2025-09-06,2025-09-21
Atlas-Sustaining,T-AT-09,Gas Box,VendorE,94,145,0.0,,2025-09-10,2025-09-08,2025-09-28
Phoenix-ETD,T-PH-04,Sensors Kit,VendorC,49,67,1249.66,Rework,2025-11-06,2025-11-09,
Orion-Ramp,T-OR-06,Valve Manifold,VendorE,72,116,0.0,,2026-02-03,2026-02-15,2026-02-16
Helios-NewBay,T-HE-07,Tool Frame,VendorF,86,135,0.0,,2025-08-14,2025-08-07,
Nova-Upgrade,T-NO-08,RF Gen,VendorD,176,200,0.0,,2026-01-06,2025-12-03,2025-12-25
Atlas-Sustaining,T-AT-01,Gas Box,VendorF,106,112,0.0,,2026-01-03,2026-01-06,2026-01-20
Phoenix-ETD,T-PH-10,Chiller,VendorE,52,92,9536.07,Priority build,2026-05-16,2026-05-10,2026-05-14
Atlas-Sustaining,T-AT-01,Tool Frame,VendorE,118,156,0.0,,2025-12-13,2025-11-19,2025-12-09
Atlas-Sustaining,T-AT-06,Pressure Transducer,VendorC,106,157,0.0,,2025-08-21,2025-07-15,
Phoenix-ETD,T-PH-01,Harness,VendorB,151,65,0.0,,2025-10-20,2025-10-22,2025-11-16
Atlas-Sustaining,T-AT-06,Tool Frame,VendorF,86,70,1399.32,Capacity constraint,2025-10-04,2025-10-06,2025-10-04
Orion-Ramp,T-OR-06,Pressure Transducer,VendorA,46,80,0.0,,2026-06-18,2026-05-30,
Orion-Ramp,T-OR-01,Vac Pump,VendorC,126,166,1148.61,Late ECO,2026-01-04,2025-12-07,2025-12-23
Nova-Upgrade,T-NO-05,RF Gen,VendorB,88,63,0.0,,2026-01-11,2025-12-22,2026-01-16
Helios-NewBay,T-HE-09,Gas Box,VendorC,141,158,0.0,,2025-09-10,2025-08-08,
Helios-NewBay,T-HE-08,Control Cabinet,VendorB,37,58,0.0,,2025-10-07,2025-09-22,2025-10-01
Orion-Ramp,T-OR-06,RF Gen,VendorD,76,81,0.0,,2026-05-16,2026-04-09,
Nova-Upgrade,T-NO-05,MFC,VendorC,82,102,0.0,,2025-10-28,2025-09-21,2025-10-05
Nova-Upgrade,T-NO-09,RF Gen,VendorB,161,161,650.75,Capacity constraint,2025-07-09,2025-06-09,2025-06-03
Orion-Ramp,T-OR-09,Tool Frame,VendorC,153,130,0.0,,2025-12-17,2025-11-16,2025-11-22
Helios-NewBay,T-HE-04,Chiller,VendorC,96,101,0.0,,2026-04-29,2026-05-05,2026-05-29
Phoenix-ETD,T-PH-04,MFC,VendorA,148,186,0.0,,2026-01-24,2026-01-15,2026-02-13
Phoenix-ETD,T-PH-01,RF Gen,VendorD,119,93,0.0,,2026-06-18,2026-07-03,2026-07-31
Atlas-Sustaining,T-AT-04,Control Cabinet,VendorF,135,156,0.0,,2026-01-20,2026-01-02,2026-01-17
Nova-Upgrade,T-NO-01,Control Cabinet,VendorC,176,141,5600.76,Supplier expedite,2026-05-18,2026-05-22,
Nova-Upgrade,T-NO-05,Sensors Kit,VendorB,88,53,9180.81,Rework,2025-07-27,2025-08-15,2025-08-08
Atlas-Sustaining,T-AT-05,Gas Box,VendorA,110,131,4962.2,Air freight,2025-12-17,2025-12-27,2026-01-03
Nova-Upgrade,T-NO-10,MFC,VendorE,33,49,3416.41,Missing parts,2025-11-02,2025-10-19,
Phoenix-ETD,T-PH-08,MFC,VendorB,39,77,0.0,,2025-07-13,2025-06-07,2025-06-26
Orion-Ramp,T-OR-10,Tool Frame,VendorB,23,25,0.0,,2025-11-03,2025-10-28,
Phoenix-ETD,T-PH-04,Control Cabinet,VendorC,139,151,0.0,,2025-08-20,2025-08-02,2025-08-18
Atlas-Sustaining,T-AT-10,Chiller,VendorB,33,54,2139.78,Late ECO,2026-01-11,2026-01-03,2026-01-21
Helios-NewBay,T-HE-04,MFC,VendorC,169,154,7295.35,Supplier expedite,2025-12-03,2025-11-10,2025-12-05
Nova-Upgrade,T-NO-01,Pressure Transducer,VendorF,93,91,3555.47,Missing parts,2026-06-15,2026-05-23,2026-06-16
Atlas-Sustaining,T-AT-04,Pressure Transducer,VendorB,126,136,0.0,,2025-10-21,2025-10-22,2025-11-19
Helios-NewBay,T-HE-07,Sensors Kit,VendorD,102,162,0.0,,2025-11-11,2025-11-13,2025-11-06
Orion-Ramp,T-OR-07,RF Gen,VendorE,143,205,0.0,,2026-06-01,2026-05-30,
Orion-Ramp,T-OR-02,Gas Box,VendorB,131,100,0.0,,2026-04-03,2026-03-16,
Nova-Upgrade,T-NO-04,Vac Pump,VendorB,114,63,0.0,,2026-01-19,2026-01-15,
Atlas-Sustaining,T-AT-05,Tool Frame,VendorF,160,134,0.0,,2025-10-08,2025-09-24,2025-10-13
Atlas-Sustaining,T-AT-04,Vac Pump,VendorA,115,158,0.0,,2026-03-14,2026-02-10,2026-02-19
Atlas-Sustaining,T-AT-10,Tool Frame,VendorC,172,195,7049.08,Priority build,2026-01-11,2026-01-10,2025-12-31
Nova-Upgrade,T-NO-01,Sensors Kit,VendorA,36,70,2627.41,Capacity constraint,2025-07-06,2025-06-20,2025-07-03
Atlas-Sustaining,T-AT-04,RF Gen,VendorD,44,122,0.0,,2026-02-20,2026-02-25,2026-02-23
Orion-Ramp,T-OR-01,Control Cabinet,VendorD,51,8,0.0,,2026-05-02,2026-05-01,
Phoenix-ETD,T-PH-06,Valve Manifold,VendorC,83,123,4998.65,Supplier expedite,2025-08-24,2025-08-08,2025-08-26
Orion-Ramp,T-OR-01,Control Cabinet,VendorB,162,234,2025.42,Capacity constraint,2025-07-25,2025-08-02,
Phoenix-ETD,T-PH-01,Pressure Transducer,VendorA,100,119,0.0,,2025-12-11,2025-12-15,2026-01-10
Nova-Upgrade,T-NO-06,MFC,VendorA,91,75,7629.34,Supplier expedite,2026-05-24,2026-05-19,
Nova-Upgrade,T-NO-10,Tool Frame,VendorF,57,85,0.0,,2025-11-11,2025-11-06,
Nova-Upgrade,T-NO-07,Chiller,VendorF,165,141,1924.89,Air freight,2025-12-16,2025-12-26,2025-12-18
Phoenix-ETD,T-PH-02,Harness,VendorD,58,92,5344.26,Supplier expedite,2026-06-01,2026-06-09,
Orion-Ramp,T-OR-06,Valve Manifold,VendorE,126,192,0.0,,2025-11-18,2025-11-20,
Atlas-Sustaining,T-AT-06,Chiller,VendorC,71,32,0.0,,2026-03-24,2026-02-18,
Helios-NewBay,T-HE-05,MFC,VendorC,123,151,0.0,,2025-10-03,2025-09-13,2025-09-30
Nova-Upgrade,T-NO-05,Sensors Kit,VendorA,34,9,5393.4,Missing parts,2025-12-02,2025-10-25,2025-11-17
Orion-Ramp,T-OR-09,Control Cabinet,VendorC,123,136,0.0,,2025-12-11,2025-11-17,2025-11-07
Orion-Ramp,T-OR-04,Harness,VendorD,36,68,829.35,Missing parts,2026-05-08,2026-05-28,2026-05-21
Orion-Ramp,T-OR-09,Pressure Transducer,VendorB,136,101,5509.21,Capacity constraint,2026-04-23,2026-03-24,2026-04-02
Helios-NewBay,T-HE-01,Valve Manifold,VendorC,91,36,0.0,,2025-11-16,2025-10-16,
Helios-NewBay,T-HE-10,Control Cabinet,VendorA,149,156,0.0,,2026-05-19,2026-05-16,2026-06-11
Nova-Upgrade,T-NO-09,Gas Box,VendorA,137,147,6797.93,Missing parts,2026-02-15,2026-02-12,2026-02-22
Nova-Upgrade,T-NO-08,Chiller,VendorC,103,137,0.0,,2025-08-24,2025-08-10,2025-08-11
Orion-Ramp,T-OR-07,Control Cabinet,VendorD,125,188,0.0,,2025-11-10,2025-10-24,2025-10-23
Orion-Ramp,T-OR-05,Pressure Transducer,VendorE,129,175,0.0,,2025-07-28,2025-07-07,
Orion-Ramp,T-OR-01,Valve Manifold,VendorE,179,205,0.0,,2025-08-28,2025-09-17,2025-10-16
Orion-Ramp,T-OR-03,Chiller,VendorA,114,108,0.0,,2026-01-20,2026-02-01,2026-01-31
Nova-Upgrade,T-NO-05,Valve Manifold,VendorC,129,174,0.0,,2026-04-27,2026-04-11,
Atlas-Sustaining,T-AT-02,RF Gen,VendorA,116,152,4736.59,Late ECO,2026-06-26,2026-07-12,2026-07-16
Atlas-Sustaining,T-AT-07,Control Cabinet,VendorF,167,198,7631.81,Missing parts,2025-07-27,2025-08-03,2025-07-26
Atlas-Sustaining,T-AT-03,Sensors Kit,VendorB,127,153,0.0,,2026-03-04,2026-02-01,2026-02-12
Nova-Upgrade,T-NO-07,MFC,VendorE,40,47,0.0,,2026-05-31,2026-05-21,2026-06-10
Orion-Ramp,T-OR-09,Chiller,VendorC,117,142,0.0,,2026-01-20,2026-02-04,2026-01-31
Nova-Upgrade,T-NO-10,Gas Box,VendorC,108,141,4503.24,Missing parts,2026-04-19,2026-04-25,2026-05-16
Helios-NewBay,T-HE-10,MFC,VendorE,98,152,4387.54,Supplier expedite,2025-07-21,2025-08-07,2025-08-18
Orion-Ramp,T-OR-07,RF Gen,VendorF,168,167,0.0,,2026-02-11,2026-03-03,2026-03-17
Phoenix-ETD,T-PH-02,Tool Frame,VendorD,90,142,0.0,,2026-02-04,2026-02-14,2026-02-16
Orion-Ramp,T-OR-08,Chiller,VendorE,109,91,0.0,,2026-05-26,2026-04-21,2026-04-20
Nova-Upgrade,T-NO-04,Valve Manifold,VendorB,60,64,0.0,,2025-12-22,2026-01-01,
Atlas-Sustaining,T-AT-09,Chiller,VendorA,171,182,4986.19,Missing parts,2025-09-05,2025-08-11,2025-08-25
Atlas-Sustaining,T-AT-07,Pressure Transducer,VendorB,163,179,0.0,,2026-02-11,2026-02-13,2026-03-04
Atlas-Sustaining,T-AT-07,Control Cabinet,VendorA,71,88,0.0,,2026-03-16,2026-03-15,2026-03-24
Atlas-Sustaining,T-AT-01,Sensors Kit,VendorB,118,132,0.0,,2025-11-24,2025-11-23,2025-11-16
Nova-Upgrade,T-NO-05,Valve Manifold,VendorB,49,8,707.2,Priority build,2025-09-01,2025-09-08,2025-10-03
